Gender,Married,Education,Self_Employed,Credit_History,Property_Area,ApplicantIncome,Loan_Status
1,0,1,0,1,1,5849,1
1,1,1,0,1,2,4583,0
1,1,1,1,1,1,3000,1
1,1,0,0,1,1,2583,1
1,0,1,0,1,1,6000,1
1,1,1,1,1,1,5417,1
1,1,0,0,1,1,2333,1
1,1,1,0,0,3,3036,0
1,1,1,0,1,1,4006,1
1,1,1,0,1,3,12841,0
1,1,1,0,1,1,3200,1
1,1,1,0,1,1,3073,1
1,0,1,0,1,2,1853,0
1,1,1,0,1,1,1299,1
1,0,1,0,1,1,4950,1
0,0,1,0,0,1,3510,0
1,1,0,0,1,2,4887,0
1,1,0,0,0,1,7660,0
1,1,1,0,1,1,5955,1
1,1,0,0,0,3,2600,0
1,1,1,1,1,3,9560,1
1,1,1,0,1,3,2799,1
1,1,0,0,1,1,4226,1
1,0,0,0,1,1,1442,0
1,0,1,0,1,1,3167,0
1,0,1,1,1,2,4692,0
1,1,1,0,1,3,3500,1
1,0,1,0,1,2,12500,0
1,1,1,0,1,1,2275,1
1,1,1,0,0,1,1828,0
0,1,1,0,1,3,3667,1
1,0,1,0,1,1,4166,1
1,0,0,0,1,3,3748,1
1,0,1,0,1,1,3600,0
1,0,1,0,1,1,1800,1
1,1,1,0,1,3,3941,1
1,1,0,1,1,1,4695,1
0,0,1,0,1,1,3410,1
1,1,1,0,1,1,5649,1
1,1,1,0,1,1,5821,1
0,1,1,0,0,1,2645,0
0,0,1,0,1,3,4000,1
0,1,0,0,1,3,1928,1
0,0,1,0,1,3,3086,1
0,0,1,0,1,3,4230,0
1,1,1,0,1,1,4616,0
0,1,1,1,0,1,11500,0
1,1,1,0,1,3,2708,1
1,1,1,0,1,3,2132,1
1,1,1,0,1,2,3366,0
1,1,1,0,1,1,8080,1
1,1,0,0,1,1,3357,1
1,1,1,0,1,1,2500,1
1,1,1,0,1,1,3029,1
1,1,0,1,0,2,2609,0
1,1,1,0,0,2,4945,0
0,0,1,0,0,3,4166,0
1,1,1,0,1,3,5726,0
1,0,0,0,0,1,3200,0
1,1,1,0,1,1,10750,1
1,1,0,1,1,1,7100,1
0,0,1,0,0,3,4300,0
1,1,1,0,1,1,3208,1
1,1,0,1,1,3,1875,1
1,0,1,0,1,3,3500,1
1,1,0,0,0,3,4755,0
1,1,1,1,1,3,5266,1
1,0,1,0,1,1,3750,0
1,1,1,1,1,1,1000,0
1,1,1,0,0,3,3167,0
0,0,1,0,1,3,3846,1
1,1,1,1,1,3,2395,1
0,1,1,0,1,1,1378,0
1,1,1,0,1,1,3988,1
1,0,1,0,1,3,2366,1
1,1,1,0,1,3,2500,1
1,0,1,0,1,1,8566,1
1,1,1,0,1,3,5695,1
1,1,1,0,1,3,2958,1
1,1,1,0,1,3,6250,1
1,1,0,0,1,1,3273,1
1,0,1,0,1,3,4133,1
1,0,0,0,1,3,3620,1
0,1,1,0,1,3,2484,1
1,1,1,0,1,3,1977,1
1,1,0,0,1,3,4188,1
1,1,1,0,1,3,1759,1
1,1,0,0,1,1,4288,1
1,0,1,0,1,3,4843,1
1,1,1,0,1,1,13650,1
1,1,1,0,1,3,4652,1
1,1,1,0,1,1,3052,1
1,1,1,0,1,1,11417,1
1,1,1,0,0,1,3800,0
1,1,0,0,1,3,2071,1
1,0,1,0,1,1,5316,1
1,1,0,0,0,2,3572,0
0,0,1,1,1,3,7451,1
1,1,1,0,1,2,14583,1
0,1,1,0,1,3,3167,1
1,1,1,0,1,2,5568,0
0,0,1,0,1,1,10408,1
1,1,1,0,1,2,5667,1
0,0,1,0,1,3,4166,1
0,0,1,0,0,3,2137,1
1,1,1,0,1,3,2957,1
1,1,0,0,1,2,4300,1
1,0,1,0,1,2,3865,1
1,1,1,1,0,1,10513,0
1,0,1,0,1,1,2014,1
1,0,1,0,1,3,2718,1
1,1,1,1,1,3,3459,1
1,0,1,0,1,3,4895,1
1,1,1,0,1,3,4000,0
0,1,1,0,1,2,4583,0
1,1,1,1,1,1,3316,1
1,0,1,0,0,3,14999,0
1,1,0,0,1,2,4200,0
1,1,1,0,1,2,5042,0
1,0,1,0,1,1,5417,1
1,0,1,1,1,3,6950,1
1,1,1,0,1,3,2698,1
1,1,1,0,1,1,11757,1
0,1,1,0,1,3,2330,1
0,1,1,0,1,1,14866,1
1,1,1,0,1,1,1538,1
0,0,1,0,1,2,10000,0
1,1,1,0,1,3,4860,1
1,0,1,0,0,2,6277,0
1,1,1,1,1,2,2577,1
1,0,1,0,1,1,9166,0
1,1,0,0,1,2,2281,0
1,0,1,0,1,1,3254,1
1,1,1,0,0,3,39999,1
1,1,1,0,1,1,9538,1
1,1,1,0,1,3,4583,1
1,1,0,0,1,3,1863,1
1,1,1,0,1,1,7933,0
1,1,1,0,0,3,3089,0
1,1,1,0,1,2,4167,1
1,1,1,0,1,1,9323,1
1,1,1,0,1,2,3707,1
1,1,1,0,1,2,2439,1
1,0,1,0,0,3,2237,0
1,1,1,0,1,3,8000,1
1,1,0,0,1,2,3522,0
1,1,1,0,1,3,5708,1
1,1,0,1,1,3,4344,0
1,1,1,0,1,2,3497,1
1,1,1,0,1,2,2045,1
1,1,1,0,0,3,5516,0
1,1,1,0,1,3,3750,1
1,0,0,0,0,1,2333,0
1,1,1,0,0,1,6400,0
1,1,1,0,1,3,4600,1
1,1,1,0,1,3,33846,0
0,1,1,0,1,3,3625,1
1,1,1,1,1,3,39147,1
1,1,1,1,0,2,2178,0
1,1,1,0,1,2,9328,1
1,0,0,0,1,2,4885,1
1,0,1,0,1,3,12000,0
1,1,0,0,1,1,6033,0
1,0,1,0,1,3,3858,1
1,0,1,0,1,2,4191,1
1,1,1,0,1,3,3125,0
1,0,1,0,1,2,8333,1
0,0,0,0,1,1,1907,1
1,0,1,1,1,1,11000,0
1,1,0,0,1,3,2600,1
1,0,1,0,0,3,4923,1
1,1,0,0,1,1,3992,0
1,1,0,0,1,1,3500,1
1,1,0,0,1,3,3917,1
0,0,0,0,1,3,4408,1
0,0,1,0,1,1,3244,1
1,0,0,0,1,2,3975,1
1,0,1,0,1,1,2479,1
1,0,1,0,1,3,3418,0
0,0,1,0,1,3,10000,0
1,1,1,0,0,3,3430,0
1,1,1,1,1,1,7787,1
1,1,0,1,1,2,5703,1
1,1,1,0,1,1,3173,1
1,1,0,0,1,3,3850,1
1,1,1,0,1,2,150,0
1,1,1,0,1,3,3727,1
1,1,1,0,0,1,2221,0
1,1,1,0,1,3,4009,1
1,0,1,0,1,3,2971,1
1,1,1,0,1,3,7578,1
1,1,1,0,1,2,3250,0
1,1,0,1,1,1,4735,0
1,0,1,1,1,2,6400,1
1,1,1,0,1,3,2491,1
1,0,0,0,1,2,3189,1
0,0,1,0,1,3,8333,1
1,1,1,0,1,3,3155,1
1,1,1,0,1,2,5500,1
0,0,1,0,1,2,3812,1
1,1,1,0,1,3,3315,1
1,1,1,0,1,2,5819,1
1,1,0,0,1,1,2510,0
1,0,1,0,1,1,2965,1
1,1,1,1,1,2,6250,1
1,1,0,0,1,3,3406,1
1,0,1,1,1,1,6050,0
1,1,1,0,1,1,9703,1
1,1,0,0,1,1,6608,1
1,1,1,0,1,3,2882,1
1,1,1,0,1,1,1809,1
1,1,0,0,0,3,1668,0
0,0,1,0,1,1,3427,0
1,0,0,1,1,2,2583,1
1,1,0,0,1,3,2661,1
1,0,1,1,0,1,16250,0
0,0,1,0,1,2,3083,1
1,0,0,0,0,2,6045,0
1,1,1,0,1,1,5250,0
1,1,1,0,1,2,14683,0
1,0,1,0,1,3,2060,1
0,0,1,0,1,3,3481,0
0,0,1,0,1,2,7200,1
1,0,1,1,1,3,5166,1
1,0,1,0,1,2,4095,1
1,1,1,0,1,3,4708,1
1,1,1,0,0,1,4333,1
0,0,1,0,1,1,2876,1
0,0,1,0,1,1,3237,1
1,1,1,0,1,1,11146,1
1,0,1,0,1,2,2833,1
1,1,1,0,1,3,2620,1
1,1,1,0,1,3,3900,1
1,1,1,0,1,3,2750,1
1,1,1,0,1,3,3993,1
1,1,1,0,1,1,3103,1
1,1,1,0,1,3,14583,1
1,0,0,1,0,1,4053,0
1,1,1,0,1,3,3927,1
1,1,1,0,1,1,2301,1
0,0,1,0,1,1,1811,1
1,1,1,0,1,2,20667,0
1,0,1,0,1,2,3158,1
0,0,1,1,1,3,2600,0
1,1,1,0,1,2,3704,1
0,0,1,0,1,3,4124,1
1,0,1,0,1,2,9508,1
1,1,1,0,1,2,3075,1
1,1,1,0,0,3,4400,0
1,1,1,0,1,1,3153,1
0,0,1,0,0,1,5417,0
1,1,1,0,1,3,2383,1
1,1,1,0,1,3,6875,1
0,1,1,0,1,1,4666,1
0,0,1,0,1,2,5000,0
1,1,1,0,1,1,2014,0
1,1,0,0,0,1,1800,0
1,1,0,0,1,3,2875,1
0,0,1,0,1,2,5000,1
1,1,1,0,1,1,1625,1
1,0,1,0,1,2,4000,1
1,0,0,0,1,1,2000,0
0,0,1,0,1,2,3762,1
0,0,1,0,0,1,2400,0
1,0,1,0,1,2,20233,0
0,0,1,0,1,3,2917,1
1,0,0,0,1,3,2927,1
0,0,1,0,1,2,2507,1
1,1,0,0,1,1,3399,1
1,1,1,0,1,3,3717,1
1,1,1,1,1,2,10000,0
1,1,1,0,1,3,2400,1
1,1,1,0,1,3,4342,1
1,1,0,0,1,2,3601,1
1,1,1,0,1,2,15000,1
1,1,1,1,0,2,8666,0
1,0,1,0,0,2,4917,1
1,1,1,1,1,3,5818,1
0,1,1,0,1,1,4333,0
0,0,1,0,1,1,2500,1
1,0,1,0,1,1,4384,1
1,0,1,0,1,3,2935,1
1,0,1,0,1,1,2833,1
1,1,1,1,1,3,5503,1
1,1,1,1,1,2,2500,1
0,0,0,0,0,1,1830,0
0,0,1,0,1,3,4160,1
1,1,0,0,1,2,2647,0
0,0,1,0,1,2,2378,0
1,1,0,0,1,1,4554,1
1,1,0,0,1,3,3173,1
1,1,1,0,1,3,2499,1
1,1,0,0,0,2,3523,0
1,1,0,0,1,1,3083,1
1,1,1,0,1,2,2625,1
1,1,1,0,1,3,9083,1
1,0,1,0,1,2,8750,0
1,1,1,0,1,2,2666,1
0,1,1,1,0,2,5500,0
0,1,1,0,1,3,2423,1
0,0,1,0,1,1,3813,1
1,1,1,0,1,2,8333,1
1,1,1,0,1,1,3875,0
1,1,0,0,0,1,3000,0
1,1,1,0,1,3,5167,1
0,0,1,0,1,3,4723,0
1,1,1,0,1,3,5000,1
1,1,1,0,1,1,4750,1
1,0,1,1,1,2,6822,1
1,0,0,0,1,2,6216,0
1,0,1,0,1,3,2500,0
1,0,1,0,0,2,5124,0
1,1,1,0,1,3,6325,1
1,1,1,0,1,2,19730,0
0,0,1,1,1,3,15759,1
1,1,1,0,1,3,5185,1
1,1,1,1,1,2,9323,1
1,0,1,0,0,1,3062,0
1,1,1,0,1,1,4817,1
1,1,1,0,1,2,8750,1
1,0,1,0,1,1,3069,0
1,1,1,0,1,1,5391,1
1,0,1,0,1,3,5941,1
0,0,1,0,1,1,6000,1
1,0,1,1,1,1,7167,1
1,1,1,0,1,1,4566,0
1,0,0,0,1,3,2346,1
1,1,0,0,0,1,3010,0
1,1,1,0,1,1,2333,1
1,1,1,0,1,2,5488,1
1,0,1,0,1,2,9167,1
1,1,1,0,1,2,9504,1
1,1,0,0,1,3,1993,1
1,1,1,0,1,1,3100,1
0,0,1,0,0,1,3180,0
1,1,1,0,1,1,3033,1
1,0,0,0,1,2,3902,1
0,0,1,0,0,3,1500,0
1,1,0,0,0,1,2889,0
1,0,0,0,1,2,2755,0
1,0,1,0,1,3,2500,1
0,0,0,0,1,3,1963,1
0,0,1,1,1,2,7441,0
0,0,1,0,1,3,4547,1
1,1,0,0,1,1,2167,1
0,0,0,0,1,2,2213,1
1,1,1,0,0,3,8300,0
1,1,1,0,0,2,81000,0
0,0,0,1,1,3,3867,0
1,1,0,0,0,2,6096,0
1,1,0,0,1,2,2253,1
0,1,0,0,0,3,2149,0
0,0,1,0,1,1,2995,1
0,0,1,0,1,1,2600,0
1,1,1,1,1,1,1600,0
1,1,1,0,1,2,1025,1
1,1,1,0,1,3,3246,1
1,1,1,0,1,2,5829,1
0,0,0,0,0,1,2720,0
1,1,1,0,1,1,1820,1
1,1,1,0,0,1,7250,0
1,1,1,0,1,3,14880,1
0,0,0,0,1,2,4606,0
1,1,1,0,1,3,5935,1
1,1,1,0,1,2,2920,1
1,0,0,0,1,1,2717,1
0,0,1,1,1,3,8624,1
1,0,1,0,0,2,6500,0
1,1,1,0,1,3,2425,1
1,0,1,0,1,1,3750,1
1,0,1,0,1,3,1926,1
1,1,1,0,1,1,2213,1
1,0,1,1,0,1,10416,0
0,1,0,1,1,2,7142,1
1,0,1,0,1,3,3660,1
1,1,1,0,1,2,7901,1
1,0,0,0,1,3,4707,1
1,0,1,0,1,3,37719,1
1,1,1,1,1,2,3466,1
1,1,0,0,1,2,4652,1
1,1,1,0,0,2,3340,0
1,1,0,0,0,2,2309,0
1,1,1,0,0,2,3948,0
1,1,1,0,0,2,2483,1
1,0,1,1,1,3,7085,1
1,1,1,0,1,3,3859,1
1,1,1,0,1,1,4301,1
1,1,1,0,1,1,3708,0
1,0,1,0,1,2,4354,1
1,1,1,0,1,3,8334,0
1,1,1,0,1,1,7740,1
1,1,1,0,1,2,3015,1
1,0,1,0,0,3,4166,0
1,0,1,0,1,2,6000,1
1,1,0,0,0,1,2947,0
1,1,1,0,1,1,4333,0
1,1,1,1,1,3,3450,1
1,1,0,0,0,2,2653,0
1,1,1,0,1,3,4691,1
1,0,1,0,1,2,5532,1
1,1,1,1,1,2,16525,1
1,1,1,0,1,3,6700,1
1,1,1,1,1,3,16667,1
1,1,1,0,1,1,2947,0
0,0,0,0,1,2,4350,1
1,1,0,0,1,2,3095,1
1,1,1,0,1,3,2083,1
1,1,1,0,1,3,10833,1
1,1,1,0,1,3,8333,1
1,1,0,0,1,2,1958,1
1,0,1,0,0,2,3547,0
1,1,1,0,1,1,18333,0
1,1,1,1,1,3,4583,1
1,0,1,0,1,1,2435,0
1,0,0,0,1,2,3691,1
0,0,0,1,1,3,17263,1
1,1,1,0,0,2,3597,0
0,1,1,0,1,3,3326,1
1,1,0,0,1,2,2600,1
1,1,1,1,1,3,2895,1
1,0,1,0,0,2,6283,0
0,0,1,0,1,2,645,1
0,0,1,0,1,3,3159,1
1,1,1,0,1,3,4865,1
1,1,0,0,1,3,3814,1
1,1,1,0,1,2,3510,1
1,1,1,1,1,1,2479,1
0,0,1,0,1,1,13262,1
1,0,0,0,1,2,3598,0
1,1,1,0,1,3,6065,1
1,1,1,0,1,1,3283,1
1,1,1,0,1,3,2130,0
1,0,1,0,1,2,5815,0
1,1,1,0,1,2,3466,1
0,1,1,0,1,3,2031,1
1,1,0,0,0,3,3074,0
1,0,1,0,1,3,4683,0
0,0,0,0,1,2,3400,0
1,1,0,0,1,3,2192,1
1,1,1,1,1,2,5677,1
1,1,1,1,1,2,7948,1
1,0,1,0,1,3,4680,0
1,1,1,1,1,2,17500,1
1,1,1,0,1,3,3775,1
1,1,0,0,0,3,5285,1
1,0,0,0,1,3,2679,1
1,0,0,0,1,3,6783,1
1,1,1,0,1,1,4281,1
1,0,1,0,0,2,3588,0
0,0,0,1,1,1,18165,1
1,1,1,0,1,1,6133,1
1,0,1,0,1,3,3617,1
1,1,0,0,1,2,2917,0
1,1,1,0,1,2,6417,1
0,1,1,0,1,3,4608,1
0,0,1,0,0,3,2138,0
1,1,0,0,1,1,2239,1
1,1,1,0,1,2,2768,1
1,0,0,0,1,3,3358,0
1,0,1,0,1,2,2526,1
0,0,1,0,0,3,5000,0
1,1,1,0,1,2,2785,1
1,1,1,1,0,2,6633,0
1,1,0,0,1,2,2492,1
1,1,1,0,1,1,3333,1
1,1,0,0,0,1,2454,0
1,1,1,0,0,2,3593,0
1,1,1,0,1,3,5468,1
1,1,1,1,1,3,10139,1
1,1,1,0,1,3,3887,1
0,1,1,0,1,3,4180,1
1,1,0,0,1,3,3675,1
0,1,1,1,1,3,19484,1
1,1,1,0,1,2,5923,1
1,0,0,1,1,3,5800,1
1,1,1,0,0,1,8799,0
1,0,1,0,1,1,3333,1
1,1,1,0,0,2,3400,0
0,0,1,0,1,1,2378,0
1,1,1,0,0,1,3166,0
1,1,1,0,1,1,3417,1
1,1,1,0,0,1,5116,0
1,1,1,0,1,1,16666,1
1,1,0,0,1,3,6125,0
1,1,1,0,1,3,6406,0
1,1,1,0,1,1,3159,1
1,0,1,0,1,1,3229,1
1,1,1,0,1,2,1782,1
1,1,1,0,1,3,6540,1
1,0,1,0,1,1,1836,0
0,1,1,0,1,3,3166,1
1,1,1,0,0,2,2787,0
1,1,1,0,1,2,4283,0
1,1,1,0,1,1,2297,1
0,0,0,0,1,3,2165,1
1,1,1,1,0,3,2726,0
1,1,1,0,1,3,3000,1
1,1,1,1,1,3,6000,0
1,1,1,0,1,2,3859,1
1,1,1,1,1,1,16120,1
1,0,0,0,1,2,3833,1
1,1,0,1,1,2,6383,0
1,0,1,0,0,3,2987,0
1,1,1,1,1,2,9963,1
1,1,1,0,1,1,5780,1
1,1,1,0,1,1,5703,1
1,0,1,0,1,2,3676,1
0,1,1,0,1,3,12000,1
1,1,0,0,1,1,2400,0
1,1,1,0,1,3,3400,1
1,1,0,0,1,2,3987,1
1,1,1,0,1,2,3232,1
0,0,1,0,1,2,2900,1
1,1,1,0,1,2,4106,1
1,1,1,0,1,1,8072,1
1,1,1,0,1,1,7583,1
0,0,1,1,0,3,4583,0
